PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
500,Ave,Parakeet,103,Black,Large,16.357607740667568,1,0,43,335,0,0
501,Conejo,Labrador,8,Black,Medium,12.6255819187094,0,0,50,93,0,1
502,Perro,Parakeet,153,Gray,Small,9.6244066297977,0,0,3,79,0,0
503,Ave,Golden Retriever,91,Gray,Medium,20.770020661957922,0,0,59,37,1,0
504,Ave,Golden Retriever,174,Gray,Medium,7.02592347643786,1,0,28,407,0,1
505,Conejo,Labrador,87,Brown,Small,24.169508300079475,0,0,46,227,0,0
506,Perro,Poodle,158,Brown,Large,24.288077662256683,1,0,64,482,1,0
507,Perro,Labrador,175,Black,Medium,13.042581689611795,1,1,70,133,0,1
508,Ave,Persian,177,White,Small,9.222892316379783,1,0,47,195,1,0
509,Gato,Siamese,175,Black,Medium,9.232467266130683,1,0,14,465,1,1
510,Ave,Poodle,84,Orange,Large,14.986448395890093,1,0,7,389,0,0
511,Ave,Labrador,82,Brown,Large,21.867797517731404,1,0,74,281,0,1
512,Ave,Parakeet,146,Gray,Large,11.407192038821904,1,0,79,100,0,0
513,Ave,Poodle,68,Brown,Small,18.691257018274793,1,0,31,474,0,0
514,Conejo,Poodle,161,Gray,Small,12.092049356895236,1,0,81,424,0,0
515,Perro,Labrador,127,Orange,Large,9.831172485390116,1,1,51,74,0,0
516,Conejo,Poodle,164,Orange,Small,1.7209259615580308,1,0,29,293,1,0
517,Conejo,Parakeet,82,Brown,Large,1.1135090663263285,0,0,15,207,0,0
518,Conejo,Golden Retriever,147,Gray,Small,7.58902265712813,1,1,76,82,0,0
519,Ave,Poodle,156,Orange,Large,12.785782317228868,1,0,25,426,0,0
520,Gato,Golden Retriever,168,Black,Medium,25.68657385349975,1,0,61,436,0,1
521,Perro,Parakeet,84,Black,Large,24.156043044982336,1,1,41,142,0,0
522,Gato,Labrador,113,Gray,Large,8.747792615051708,1,0,69,473,0,1
523,Conejo,Siamese,76,Brown,Small,8.09167284654468,1,0,4,55,0,0
524,Conejo,Poodle,122,Orange,Small,7.592340061030796,0,1,57,360,1,0
525,Gato,Siamese,143,Brown,Small,10.837882875337144,0,0,31,439,0,0
526,Gato,Parakeet,41,Black,Small,15.447762867288876,0,1,3,286,0,0
527,Gato,Poodle,167,Orange,Small,13.72136538891569,1,0,67,210,0,0
528,Conejo,Golden Retriever,2,Brown,Small,7.329922764663319,1,0,50,440,0,1
529,Conejo,Persian,29,White,Medium,4.783090888364923,1,0,17,178,0,1
530,Perro,Siamese,105,Gray,Large,1.3647565620996662,1,1,60,407,1,0
531,Perro,Poodle,51,Gray,Large,5.464933921328612,1,0,74,57,1,0
532,Conejo,Siamese,75,White,Large,21.455334735629428,1,0,66,72,0,0
533,Gato,Poodle,10,Black,Medium,8.065518511021905,1,0,88,214,0,1
534,Gato,Labrador,142,Orange,Large,14.589452493523785,1,0,75,387,0,1
535,Perro,Golden Retriever,51,Gray,Medium,18.147733318774097,1,0,24,265,0,1
536,Conejo,Siamese,118,White,Medium,26.718386182116607,0,1,87,446,0,0
537,Perro,Persian,121,White,Medium,26.776797853409164,1,0,32,72,0,1
538,Perro,Persian,39,Black,Large,22.62627827675941,1,0,87,466,0,0
539,Ave,Parakeet,28,Black,Medium,2.019552769406541,0,0,19,270,0,0
540,Ave,Poodle,3,Brown,Large,17.677042153477032,1,0,66,498,1,1
541,Ave,Siamese,84,Gray,Large,23.810920654113687,1,0,60,353,1,0
542,Gato,Parakeet,155,Brown,Small,1.501353298137533,1,0,66,233,0,0
543,Conejo,Siamese,117,White,Small,16.94085379604077,0,0,15,318,0,0
544,Conejo,Poodle,2,Orange,Medium,25.875160227794854,1,0,85,18,1,1
545,Conejo,Persian,93,Orange,Medium,14.748960199425742,1,0,35,112,0,1
546,Conejo,Labrador,166,Black,Large,1.119079884026005,0,0,69,62,1,0
547,Ave,Persian,131,Orange,Medium,1.3193873917326164,1,0,27,371,0,1
548,Gato,Parakeet,144,Orange,Medium,13.082445084998765,0,1,88,183,0,0
549,Gato,Golden Retriever,94,Orange,Large,5.495251355085882,0,0,7,276,0,0
550,Ave,Labrador,40,White,Medium,20.269069055704527,0,0,6,161,1,1
551,Gato,Parakeet,2,Orange,Medium,21.555178682278466,0,0,33,242,0,1
552,Ave,Poodle,81,Orange,Large,6.15851406835823,1,0,58,144,0,0
553,Conejo,Labrador,169,Orange,Large,26.76746536721006,0,0,49,145,0,0
554,Ave,Parakeet,12,Brown,Small,13.81532750438885,1,0,17,80,1,1
555,Conejo,Poodle,163,White,Large,5.142531320165788,1,0,42,321,1,0
556,Conejo,Persian,65,Black,Small,23.16329634401247,1,0,72,434,1,0
557,Perro,Golden Retriever,55,Brown,Medium,23.90926050048641,1,0,40,320,1,1
558,Ave,Poodle,45,Gray,Large,19.53956870729827,1,0,46,42,0,0
559,Perro,Siamese,101,White,Large,25.750501042874042,1,0,71,312,0,0
560,Ave,Poodle,62,White,Large,22.38381618888947,0,0,70,393,0,0
561,Ave,Poodle,49,Gray,Medium,26.583966379582726,1,0,68,292,0,1
